Match ID,Home result,Away result,Home team,Away team
262606499,1,1,175361,175352
262606500,1,1,183419,175388
262606501,4,0,175297,175394
262606502,2,0,175311,175340
262606503,7,0,175370,175411
262606504,1,0,183425,175417
262606505,1,2,175411,175394
262606506,2,3,175297,175361
262606507,4,3,175311,183425
262606508,1,2,183419,175352
262606509,4,1,175370,175417
262606510,0,2,175388,175340
262606511,5,0,175297,175411
262606512,0,1,175311,183419
262606513,4,1,175417,175340
262606514,1,0,175352,175394
262606515,1,1,175388,175361
262606516,4,0,175370,183425
262606517,1,2,175394,175311
262606518,0,3,175417,175361
262606519,5,1,175352,175411
262606520,2,0,175370,183419
262606521,0,2,175388,175297
262606522,8,0,175340,183425
262606523,1,2,175361,183419
262606524,0,3,175411,175311
262606526,6,1,175417,175388
262606527,2,4,183425,175297
262606528,1,0,175340,175394
262606529,5,1,175361,175394
262606530,0,0,175411,175340
262606531,0,2,175417,175370
262606532,9,0,175352,175388
262606533,2,1,175311,175297
262606534,1,2,183425,183419
262606535,1,4,175411,175417
262606536,0,5,175394,175361
262606537,1,0,183419,175297
262606538,0,2,175370,175311
262606539,2,5,175388,183425
262606540,4,1,175340,175352
262606541,3,4,175411,175361
262606542,1,1,175417,175311
262606543,0,1,175394,183419
262606544,1,6,175388,175370
262606545,1,2,175352,183425
262606546,4,4,175340,175297
262606547,1,4,175361,175370
262606548,0,3,175394,175417
262606549,0,2,175297,175311
262606551,2,1,183419,183425
262606552,2,0,175340,175411
262606553,1,2,175361,175311
262606554,5,1,175394,175388
262606555,1,0,175417,183419
262606556,3,0,175352,175297
262606557,8,0,183425,175411
