Match ID,Home result,Away result,Home team,Away team
261900695,3,3,183189,175405
261900696,1,2,175414,183406
261900697,1,2,175331,175734
261900698,2,1,175387,175408
261900702,0,1,175387,183189
261900703,3,1,175391,175405
261900704,2,2,175414,183408
261900705,3,1,176208,175734
261900706,2,1,175408,183406
261900707,3,1,175326,183189
261900708,0,1,175331,175405
261900709,2,1,175387,183408
261900710,5,0,183406,176208
261900711,5,1,175414,175408
261900712,1,3,175391,175734
261900713,3,0,175387,175331
261900714,1,1,183406,175734
261900715,1,1,175414,183189
261900716,2,1,176208,175405
261900717,3,1,175408,183408
261900718,0,1,175391,175326
261900719,5,1,175734,175391
261900720,2,1,183189,175326
261900721,1,0,175405,175331
261900722,3,2,183408,175387
261900723,3,2,176208,183406
261900724,3,2,175408,175414
261900725,0,1,183406,175408
261900726,2,2,175326,175331
261900727,1,0,183189,175387
261900728,1,0,175405,175391
261900729,4,0,183408,175414
261900730,0,0,175734,176208
