Club ID,Club
175396,NORTH MISSISSAUGA SC U20 WOMEN
175342,NORTH TORONTO U20 WOMEN
183437,PICKERING FC U20 WOMEN
183417,OAKVILLE SC U20 WOMEN
183438,SIMCOE COUNTY ROVERS FC U20 WOMEN
175419,AURORA FC U20 WOMEN
183421,WHITBY FC U20 WOMEN
175372,WOODBRIDGE STRIKERS U20 WOMEN
