Club ID,Club
175385,FC LONDON L2 MEN
175328,GUELPH UNITED L2 MEN
175333,HAMILTON UNITED L2 MEN
175406,WINDSOR CITY FC L2 MEN
183410,CAMBRIDGE UNITED MEN
175399,ST CATHARINES ROMA L2 MEN
183422,WATERLOO UNITED L2 MEN
183411,RAILWAY CITY FC MEN
