Match ID,Home result,Away result,Home team,Away team
262608412,4,1,175386,175334
262608413,0,0,183423,183412
262608414,2,3,175323,175738
262608415,3,0,175386,183412
262608416,1,0,175398,175329
262608417,3,1,183413,183415
262608418,7,0,183423,175323
262608419,0,2,175334,175398
262608420,4,3,183413,175738
262608421,0,4,175329,183415
262608422,7,1,183423,175386
262608423,2,5,175738,175334
262608424,2,3,175323,175329
262608425,3,0,183412,183415
262608426,3,2,183413,175398
262608427,4,1,175738,175386
262608428,0,3,183415,175334
262608429,1,4,175323,183423
262608430,2,0,175398,183413
262608431,2,0,183412,175329
262608432,1,0,183423,175334
262608433,3,4,175323,183415
262608434,0,6,175738,183412
262608435,1,2,175398,175386
262608436,2,0,183413,175329
262608437,1,1,183415,175386
262608438,0,2,175738,183423
262608439,2,1,175334,175329
262608440,0,5,175323,175398
262608441,2,2,183412,183413
262608442,2,0,175386,183415
262608443,3,1,183423,175738
262608444,2,2,175329,175334
262608445,0,2,183413,183412
262608446,0,3,175329,175398
262608447,4,1,175738,175323
262608448,1,1,175334,175386
262608449,3,1,175398,175323
262608450,4,2,183415,183413
262608451,4,1,183412,183423
262608452,1,3,175329,175386
262608453,2,7,183415,183423
262608454,0,0,175398,175738
262608455,1,2,175334,183413
262608456,8,0,183412,175323
262608457,2,4,175329,175738
262608458,0,1,175334,183412
262608459,1,1,175398,183415
